      100	2014-11-04 17:09:44	1	1	1	0
      136	2014-11-04 17:10:42	1	1	1	0
      133	2014-11-04 17:11:07	1	1	1	0
      128	2014-11-04 17:12:08	1	1	1	0
      134	2014-11-04 17:20:08	1	1	1	0
      121	2014-11-04 17:20:11	1	1	1	0
       60	2014-11-04 17:31:43	1	1	1	0
       66	2014-11-04 19:21:13	1	1	1	0
       66	2014-11-04 19:21:15	1	1	1	0
      105	2014-11-04 19:48:19	1	0	1	0
      119	2014-11-04 20:05:11	1	1	1	0
      111	2014-11-04 20:05:25	1	0	1	0
      116	2014-11-04 20:28:57	1	1	1	0
      116	2014-11-04 20:29:10	1	0	1	0
      110	2014-11-04 20:56:48	1	1	1	0
      110	2014-11-04 20:56:59	1	1	1	0
      132	2014-11-04 22:02:27	1	1	1	0
      125	2014-11-04 22:04:07	1	1	1	0
      124	2014-11-04 22:05:37	1	0	1	0
      124	2014-11-04 22:05:46	1	1	1	0
      135	2014-11-04 22:05:55	1	1	1	0
      131	2014-11-04 22:06:36	1	0	1	0
      140	2014-11-04 22:11:33	1	1	1	0
      137	2014-11-04 22:35:04	1	1	1	0
      103	2014-11-04 22:47:44	1	1	1	0
      103	2014-11-04 22:47:46	1	1	1	0
      113	2014-11-04 23:00:28	1	0	1	0
      114	2014-11-04 23:00:44	1	0	1	0
      115	2014-11-04 23:01:01	1	1	1	0
      115	2014-11-04 23:01:18	1	1	1	0
      139	2014-11-04 23:01:32	1	0	1	0
      108	2014-11-04 23:01:40	1	0	1	0
      139	2014-11-05 06:34:01	1	0	1	0
      122	2014-11-05 06:37:29	1	0	1	0
      109	2014-11-05 06:39:06	1	0	1	0
      109	2014-11-05 06:39:08	1	0	1	0
      107	2014-11-05 06:51:41	1	0	1	0
      120	2014-11-05 06:58:14	1	0	1	0
      120	2014-11-05 06:58:32	1	0	1	0
      116	2014-11-05 07:19:27	1	0	1	0
      110	2014-11-05 07:49:04	1	0	1	0
      110	2014-11-05 07:49:08	1	0	1	0
      118	2014-11-05 07:49:12	1	0	1	0
      127	2014-11-05 08:15:11	1	0	1	0
      105	2014-11-05 08:34:09	1	1	1	0
      111	2014-11-05 08:35:15	1	1	1	0
      111	2014-11-05 08:35:20	1	1	1	0
      111	2014-11-05 08:35:24	1	1	1	0
      136	2014-11-05 08:40:55	1	0	1	0
       66	2014-11-05 08:43:25	1	0	1	0
       66	2014-11-05 08:43:28	1	0	1	0
      123	2014-11-05 08:45:54	1	0	1	0
      128	2014-11-05 08:46:10	1	0	1	0
      133	2014-11-05 08:49:10	1	0	1	0
      131	2014-11-05 08:57:33	1	0	1	0
      124	2014-11-05 13:00:51	1	0	1	0
      137	2014-11-05 13:18:44	1	0	1	0
      135	2014-11-05 13:38:16	1	0	1	0
      138	2014-11-05 13:41:00	1	0	1	0
      140	2014-11-05 13:53:31	1	0	1	0
      130	2014-11-05 13:58:41	1	0	1	0
      102	2014-11-05 14:26:37	1	0	1	0
      106	2014-11-05 14:42:09	1	0	1	0
      112	2014-11-05 14:42:40	1	0	1	0
      103	2014-11-05 14:44:14	1	0	1	0
      103	2014-11-05 14:44:16	1	0	1	0
      104	2014-11-05 14:44:43	1	0	1	0
      104	2014-11-05 14:44:46	1	0	1	0
      115	2014-11-05 14:47:53	1	0	1	0
      109	2014-11-05 15:09:33	1	0	1	0
      109	2014-11-05 15:09:35	1	0	1	0
      109	2014-11-05 15:10:06	1	1	1	0
      122	2014-11-05 15:10:11	1	1	1	0
      101	2014-11-05 15:11:09	1	0	1	0
      120	2014-11-05 15:11:43	1	1	1	0
      107	2014-11-05 15:24:07	1	1	1	0
      139	2014-11-05 16:04:00	1	1	1	0
      133	2014-11-05 17:05:34	1	1	1	0
      123	2014-11-05 17:05:57	1	1	1	0
      128	2014-11-05 17:06:04	1	1	1	0
      141	2014-11-05 17:06:13	1	1	1	0
      127	2014-11-05 17:08:07	1	1	1	0
       60	2014-11-05 17:33:36	1	1	1	0
       60	2014-11-05 17:36:15	1	1	1	0
      136	2014-11-05 17:42:55	1	1	1	0
        9	2014-11-05 17:52:47	1	1	1	0
       66	2014-11-05 18:42:18	1	1	1	0
       66	2014-11-05 18:42:20	1	1	1	0
      105	2014-11-05 19:30:37	1	0	1	0
      117	2014-11-05 19:53:59	1	0	1	0
      111	2014-11-05 19:54:28	1	0	1	0
      116	2014-11-05 20:06:28	1	1	1	0
      116	2014-11-05 20:06:33	1	1	1	0
      118	2014-11-05 20:06:53	1	0	1	0
      118	2014-11-05 20:06:57	1	0	1	0
